rank,domain,ip,ping_ms,dns_ms,tcp_handshake_ms,tcp_transfer_ms,total_ms,url
1,cloudflare.com,104.16.133.229,216.476,17.855,393.04699999999997,11305.25,11716.152,https://cloudflare.com
2,microsoft.com,150.171.110.70,,27.743,246.51000000000005,3372.335,3646.5879999999997,https://microsoft.com
3,amazonaws.com,15.197.250.250,78.459,20.159,278.141,5922.28,6220.58,http://amazonaws.com
4,apple.com,17.253.144.10,98.987,30.862000000000002,67.826,718.8149999999999,817.5029999999999,https://apple.com
5,mail.ru,185.180.201.1,235.765,560.838,597.4509999999999,1429.4800000000002,2587.7690000000002,https://mail.ru
6,dzen.ru,95.163.218.220,,1044.096,389.62600000000003,1033.9930000000002,2467.715,https://dzen.ru
7,linkedin.com,52.131.37.152,11.449,56.501999999999995,34.739000000000004,2699.185,2790.426,https://linkedin.com
8,office.com,13.107.6.156,73.008,50.33,294.784,1653.3200000000002,1998.434,https://office.com
9,googletagmanager.com,220.181.174.169,31.62,1027.811,17.25399999999988,1137.2839999999999,2182.3489999999997,https://googletagmanager.com
10,live.com,204.79.197.212,87.529,34.389,224.976,1404.262,1663.627,https://live.com
11,amazon.com,98.87.170.71,,17.058,331.94399999999996,881.837,1230.839,https://amazon.com
12,azure.com,20.76.201.171,287.052,1433.192,284.2229999999999,5678.71,7396.125,https://azure.com
13,bing.com,150.171.27.10,84.707,38.3,499.339,956.5920000000001,1494.231,https://bing.com
14,appsflyersdk.com,65.9.168.12,93.896,56.583,101.77,179.162,337.515,https://appsflyersdk.com
15,fastly.net,151.101.65.6,185.543,349.967,264.98800000000006,8213.378999999999,8828.334,https://fastly.net
16,netflix.com,44.242.13.161,,21.298000000000002,184.60399999999998,426.3699999999999,632.2719999999999,https://netflix.com
17,sharepoint.com,13.107.136.10,59.285,151.881,717.157,2803.394,3672.4320000000002,https://sharepoint.com
18,gandi.net,217.70.185.65,177.623,336.911,340.08500000000004,1637.396,2314.392,https://gandi.net
19,digicert.com,45.60.121.229,152.995,148.208,480.033,1287.629,1915.87,https://digicert.com
20,cloud.microsoft,20.76.201.171,252.945,38.031,251.15300000000002,577.851,867.035,https://cloud.microsoft
21,wordpress.org,66.6.42.252,229.183,19.227,274.132,1560.315,1853.674,https://wordpress.org
22,skype.com,20.112.250.133,139.181,38.382,376.6,1636.48,2051.462,https://skype.com
23,icloud.com,17.253.144.10,84.73,28.014,184.28399999999996,550.923,763.221,https://icloud.com
24,cloudflare.net,104.16.208.90,186.487,15.952000000000002,163.072,341.18500000000006,520.2090000000001,https://cloudflare.net
25,roblox.com,128.116.31.3,233.632,186.96099999999998,483.40299999999996,1263.973,1934.337,https://roblox.com
26,yahoo.com,98.137.11.164,189.018,28.055,387.545,782.173,1197.773,https://yahoo.com
27,ntp.org,204.93.207.22,271.378,18.227,399.553,1431.1829999999998,1848.963,https://ntp.org
28,msn.com,204.79.197.219,89.496,38.119,463.8639999999999,1339.169,1841.1519999999998,https://msn.com
29,adobe.com,23.2.16.113,274.597,20.657999999999998,444.29799999999994,5238.044000000001,5703.0,https://adobe.com
30,nginx.org,3.125.197.172,167.412,10.792,190.449,564.364,765.605,https://nginx.org
31,zoom.us,170.114.52.2,180.118,19.947,377.538,1285.381,1682.866,https://zoom.us
32,qq.com,123.150.76.218,42.936,45.318999999999996,20.811999999999998,65.391,131.522,https://qq.com
33,baidu.com,110.242.74.102,15.766,42.684,18.553,73.254,134.49099999999999,https://baidu.com
34,openai.com,104.18.33.45,188.452,16.527,213.47899999999998,465.795,695.801,https://openai.com
35,yandex.net,213.180.204.242,257.963,15.278,486.36499999999995,1303.5290000000002,1805.172,https://yandex.net
36,windows.com,20.70.246.20,196.02,128.539,757.085,3879.9669999999996,4765.590999999999,https://windows.com
37,opera.com,185.26.182.103,200.084,61.462999999999994,395.062,1677.774,2134.299,https://opera.com
38,samsung.com,211.45.27.231,,,,,,
39,sentry.io,35.186.247.156,216.221,9.350000000000001,119.023,1181.466,1309.839,https://sentry.io
40,nginx.com,159.60.134.0,217.324,85.728,745.891,3274.8040000000005,4106.423000000001,https://nginx.com
41,yandex.ru,77.88.44.55,253.278,56.897000000000006,590.961,1251.2259999999999,1899.084,https://yandex.ru
42,mozilla.org,35.190.14.201,118.633,27.812,339.028,1802.834,2169.674,https://mozilla.org
43,wordpress.com,192.0.78.17,91.608,17.583000000000002,99.82199999999999,808.3900000000001,925.7950000000001,https://wordpress.com
44,capgemini.com,192.0.66.152,88.445,209.84900000000002,207.82,1794.1349999999998,2211.804,https://capgemini.com
45,achmea.nl,145.219.28.71,228.318,169.095,494.009,1807.5299999999997,2470.634,https://achmea.nl
46,actify.nl,145.219.29.11,297.431,421.48600000000005,762.786,5087.392000000001,6271.664000000001,https://actify.nl
47,f5.com,159.60.134.0,204.896,227.01,478.86999999999995,8096.245999999999,8802.126,https://f5.com
48,b-cdn.net,143.244.50.86,178.224,31.593999999999998,480.156,2358.8619999999996,2870.612,https://b-cdn.net
49,ui.com,13.249.231.49,110.729,62.885999999999996,102.53600000000002,520.0389999999999,685.461,https://ui.com
50,nic.ru,31.177.76.4,269.836,44.326,258.879,977.976,1281.1809999999998,https://nic.ru
51,office365.com,20.119.0.28,212.097,15.237,216.109,671.141,902.4870000000001,https://office365.com
52,europa.eu,147.67.210.45,,112.68499999999999,389.766,3625.1730000000002,4127.624,https://europa.eu
53,bit.ly,67.199.248.10,251.156,62.75600000000001,465.799,2222.034,2750.5890000000004,https://bit.ly
54,okcdn.ru,217.20.156.72,993.143,288.93,377.749,1444.5539999999999,2111.2329999999997,https://okcdn.ru
55,vk.com,87.240.132.72,310.58,92.32600000000001,446.60299999999995,4914.232,5453.161,https://vk.com
56,github.io,185.199.108.153,113.24,198.053,238.276,587.6239999999999,1023.9529999999999,https://github.io
